title,summary,donor,geographic_location,deadline,view_grant,application_link,grant_page_url,source_listing_url
2026 Call for Projects to Support Writing and (Co)Productions,"Deadline: 02-Apr-2026 The Organisation internationale de la Francophonie (OIF) has launched its 2026 Call for Projects to support the writing and (co)production of French-language creative works. Grants ranging from €7,000 to €20,000 are available for projects in book publishing, live performance, and cinema-audiovisual production. The initiative aims to strengthen international collaboration, cultural diversity, and global",International Organisation of the Francophonie,cultural organizations and entities operating within the Francophone community,02-Apr-2026,view grant link,https://www.francophonie.org/ecritures-et-coproductions-8394,https://www2.fundsforngos.org/arts-culture/2026-call-for-projects-to-support-writing-and-coproductions/,https://www2.fundsforngos.org/tag/lebanon/
Arts Across Canada and Abroad: Connecting Canadian Artists Globally,"Deadline: 22-Apr-2026 The Arts Across Canada and Abroad program helps Canadian artists and arts organizations present, promote, and share artistic work across Canada and internationally. It supports activities such as translation, promotional expenses, and artistic presentations, with funding of up to $20,000 for translation, up to $2,000 for promotion, and a maximum of $44,000 per",Canada Council for the Arts,a broad range of applicants involved in the Canadian arts and cultural sector.,22-Apr-2026,view grant link,https://cca-internal-cac-interne.my.site.com/s/fundingopportunity/119JQ000003Vz5eYAC/6607?language=en_US,https://www2.fundsforngos.org/arts-culture/arts-across-canada-and-abroad-connecting-canadian-artists-globally/,https://www2.fundsforngos.org/tag/lebanon/
Call for Creative Submissions: KKI April 2026 Edition,"Deadline: 20-Mar-2026 Kavya Kishor International (KKI) invites global writers, poets, translators, and visual artists to submit original, unpublished works for the April 2026 edition. Submissions include poetry, short stories, essays, translations, and visual arts, providing an inclusive platform for cultural exchange, creativity, and global visibility. About the Submission Call Kavya Kishor International (KKI) welcomes contributions",KKI,,20-Mar-2026,view grant link,https://en.kavyakishor.com/2026/03/07/call-for-submissions-kki-april-2026-edition/#Submission_Guidelines,https://www2.fundsforngos.org/arts-culture/call-for-creative-submissions-kki-april-2026-edition/,https://www2.fundsforngos.org/tag/lebanon/
Entries open for “Wiki Loves Folklore” Global Media Contest,"Deadline: 31-Mar-2026 The Wikimedia Commons Wiki Loves Folklore Global Media Contest invites contributors worldwide to document folk culture through photographs, audio, and video. Prizes range from $50 to $500 across multiple categories, with submissions due by 31 March 2026 under free licenses such as CC BY-SA 4.0. What is the Wiki Loves Folklore Contest? The",Wikimedia Commons,Contributors from anywhere in the world who hold copyright for their submitted media.,31-Mar-2026,view grant link,https://commons.wikimedia.org/wiki/Commons:Wiki_Loves_Folklore_2026,https://www2.fundsforngos.org/arts-culture/entries-open-for-wiki-loves-folklore-global-media-contest/,https://www2.fundsforngos.org/tag/lebanon/
International Travel Fund for Market Development in Australia,"Deadline: 14-Apr-2026 The International Travel Fund supports Australian artists, authors, illustrators, creative workers, and organizations to attend key international market development platforms and events. Grants help cover travel, accommodation, visas, and professional expenses, enabling participants to build global networks, partnerships, and exposure. Funding is offered in fixed amounts of $5,000, $10,000, $15,000, or $20,000, targeting",Creative Australia,,14-Apr-2026,view grant link,https://creative.gov.au/investments-opportunities/international-travel-fund-market-development,https://www2.fundsforngos.org/arts-culture/international-travel-fund-for-market-development-in-australia/,https://www2.fundsforngos.org/tag/lebanon/
Monthly Creative Challenge: Design Something Massive,"Deadline: 24-Mar-2026 The Monthly Creative Challenge invites creators worldwide to explore scale and impact by designing massive structures, creatures, or environments that dominate their surroundings. Participants from any creative field—illustration, 3D art, animation, game design, architecture, motion graphics, web, or digital fashion—can submit original work for recognition and prizes, including a one-year Adobe Creative Cloud",The Rookies,creators worldwide,24-Mar-2026,view grant link,https://www.therookies.co/contests/groups/monthly-art-challenge-colossal,https://www2.fundsforngos.org/arts-culture/monthly-creative-challenge-design-something-massive/,https://www2.fundsforngos.org/tag/lebanon/
Request for Applications: IIE Artist Protection Fund,"Deadline: 31-Dec-2026 The IIE Artist Protection Fund provides fellowships for artists facing serious threats to their lives or practice, offering placements at safe host institutions worldwide. Fellows receive financial support, mentorship, and access to professional networks to continue their work safely. The one-year fellowship encourages applications from underrepresented groups and prioritizes artists at imminent risk",IIE,artists from,31-Dec-2026,view grant link,https://www.iie.org/programs/artist-protection-fund/,https://www2.fundsforngos.org/arts-culture/request-for-applications-iie-artist-protection-fund/,https://www2.fundsforngos.org/tag/lebanon/
Tibetan Arts and Culture Fund 2026 (India),"Deadline: 30-Apr-2026 The Tibetan Arts and Culture Fund (TACF-2026) by the Central Tibetan Administration provides grants of ₹1,00,000 to ₹3,00,000 to support projects preserving and promoting Tibetan arts and culture. Open to individual artists, researchers, and organizations, the fund supports both traditional and contemporary cultural initiatives. Applicants must submit a proposal, budget, and references, with",CTA,"individual artists, researchers, and organizations, the fund supports both traditional and contemporary cultural initiatives. Applicants must submit a proposal, budget, and references, with final selection through a review and interview process.",30-Apr-2026,view grant link,https://tibet.net/tibetan-arts-and-culture-fund-tacf-2026/,https://www2.fundsforngos.org/arts-culture/tibetan-arts-and-culture-fund-2026-india/,https://www2.fundsforngos.org/tag/lebanon/
Translation Funding for Australian Literary Works,"Deadline: 14-Apr-2026 The Creative Australia Translation Fund provides financial support for translating literary works, enabling international publishers to translate Australian creative works and Australian publishers to translate non-English works into English. The fund prioritizes creative writing, narrative non-fiction, and playwriting, supporting global access and cultural exchange. Grants range from AUD $5,000 to $10,000, mainly covering",Creative Australia,to the Translation Fund?,14-Apr-2026,view grant link,https://creative.gov.au/investments-opportunities/translation-fund-literature,https://www2.fundsforngos.org/arts-culture/translation-funding-for-australian-literary-works/,https://www2.fundsforngos.org/tag/lebanon/
Bangkok Business Challenge 2026: Compete for Global Startup Glory,"Deadline: 15-Mar-2026 The Bangkok Business Challenge 2026 invites undergraduate and postgraduate students worldwide to present innovative, investor-ready startup ideas. Participants compete for a total prize pool of USD 42,900, royal trophies, and global recognition through business plan submissions, live pitches, and venture exhibits. What is the Bangkok Business Challenge 2026? The Bangkok Business Challenge 2026",Sasin School of Management,,15-Mar-2026,view grant link,https://bbc.sasin.edu/2026,https://www2.fundsforngos.org/business-industry/bangkok-business-challenge-2026-compete-for-global-startup-glory/,https://www2.fundsforngos.org/tag/lebanon/
